gene_name,gene_id,logfc,p
CETP,ENSG00000087237.12,4.83526002647493,1.66284871779338e-07
SAA1,ENSG00000173432.13,4.81818861124822,0.0001696046136478
CRYZL2P-SEC16B,ENSG00000254154.8,4.807871919748,0.0003938661385378
DDX60,ENSG00000137628.18,4.80569864080455,0.0
SLFN12,ENSG00000172123.13,4.80064763955724,1.27880073696177e-41
CD80,ENSG00000121594.12,4.77918029940395,4.2568900466979e-83
ASPM,ENSG00000066279.19,4.75793910366241,9.61189380729291e-40
MIR221,ENSG00000207870.1,4.7365134664736,0.0002062233305836
GBP2,ENSG00000162645.13,4.72804279000506,6.92414372267258e-292
CDC25A,ENSG00000164045.12,4.72619338060768,2.86279851854676e-37
CKAP2L,ENSG00000169607.13,4.72052662438734,2.1084390026546e-34
ALOX5,ENSG00000012779.12,4.70317489271043,5.26605737972742e-128
PLEKHA4,ENSG00000105559.12,4.69942367593413,5.23374269510434e-130
PKD1P4,ENSG00000205746.9,4.66708003585252,0.0001085488568792
NRIR,ENSG00000225964.6,4.66150728672489,3.765329154376611e-15
IL27,ENSG00000197272.2,4.64805037754261,5.74243260719091e-05
KIF18B,ENSG00000186185.14,4.63661432464614,1.7079584902567102e-20
MELK,ENSG00000165304.8,4.62213424687937,6.10242367941813e-43
CD14,ENSG00000170458.14,4.60926660176483,1.9954037135704692e-82
NOD2,ENSG00000167207.14,4.60879837319711,2.8440571508221603e-35
IFIT1P1,ENSG00000215515.2,4.57983580723528,0.0003128434758396
DLL4,ENSG00000128917.8,4.57632231813934,0.0
ZC3H12D,ENSG00000178199.14,4.56822215212527,8.28780954349853e-117
LINC02528,ENSG00000226004.2,4.56349858865227,0.0003574884919931
NCOA4P2,ENSG00000249934.2,4.53983579128166,0.0004287361143954
FBXO39,ENSG00000177294.7,4.53178787441794,7.4109760830002e-05
CDC20P1,ENSG00000231007.5,4.53144640663798,0.0002937145697416
LYSMD2,ENSG00000140280.14,4.5284384466197,1.65923475067965e-103
PLSCR4,ENSG00000114698.15,4.52842971844142,7.61083378322554e-05
MMP2-AS1,ENSG00000260135.7,4.52514018942033,2.92385506032376e-23
CHROMR,ENSG00000223960.8,4.47493594202479,1.11716645852037e-109
GEN1,ENSG00000178295.15,4.47221262918538,1.94898923899971e-63
VCAM1,ENSG00000162692.12,4.47130468687173,4.38105255588846e-28
PPM1K,ENSG00000163644.15,4.46675104181499,1.20760339660926e-269
MYBL2,ENSG00000101057.16,4.46465030027208,8.25632975803316e-71
MT-TL2,ENSG00000210191.1,4.46347197824237,0.0002281666217919
LILRB2,ENSG00000131042.15,4.45979597944033,3.7638362573311104e-19
HJURP,ENSG00000123485.12,4.45146073732576,8.96772534730148e-27
GBP3,ENSG00000117226.12,4.44831773129762,8.457348586223039e-222
TRANK1,ENSG00000168016.15,4.44667484355114,7.49393436440003e-172
STAP1,ENSG00000035720.8,4.44062116970704,1.32234421663797e-12
AP1G2-AS1,ENSG00000258727.1,4.43893022849324,0.000125934669443
C1orf147,ENSG00000162888.4,4.43258179059634,2.9195579147201094e-11
FAM90A1,ENSG00000171847.11,4.42171452869287,0.0006789989104697
SHCBP1,ENSG00000171241.9,4.42112772141252,8.77434815162147e-46
IL15RA,ENSG00000134470.21,4.42097632749629,2.21392462528979e-90
FAM3B,ENSG00000183844.17,4.41842629400733,0.0007543544183045
DTX3L,ENSG00000163840.10,4.40962035887996,0.0
ZBTB42,ENSG00000179627.10,4.38602629677261,5.14686798487322e-29
VGLL2,ENSG00000170162.14,4.37516673929788,8.21206453553625e-21
HMMR,ENSG00000072571.20,4.37134889824749,3.14761945267242e-19
IFI27,ENSG00000165949.13,4.36849454615599,4.28307587488644e-13
IL7R,ENSG00000168685.15,4.3676634021635,1.85613338131942e-95
IL10RA,ENSG00000110324.11,4.35723222056477,0.0
ERP27,ENSG00000139055.7,4.35634287405498,0.0003689709518545
BUB1B,ENSG00000156970.13,4.35562709646744,2.15492307806356e-37
GBP7,ENSG00000213512.3,4.35247663268814,0.000347514496519
P2RY6,ENSG00000171631.16,4.34425802881526,2.4707393729513e-139
CDCA5,ENSG00000146670.10,4.33997167738212,2.29049936796307e-49
JMJD7-PLA2G4B,ENSG00000168970.22,4.33327300724901,2.8509662621382e-09
JAK2,ENSG00000096968.14,4.31011165019245,0.0
FCGR2C,ENSG00000244682.8,4.28751128498351,0.0005634455799486
FOXM1,ENSG00000111206.13,4.27331221619184,3.33804404753815e-16
SAMHD1,ENSG00000101347.11,4.27271349181059,0.0
S100A9,ENSG00000163220.11,4.27101813942273,5.51189481378465e-80
DHX58,ENSG00000108771.13,4.27073887231761,3.1231756720679596e-287
DDX60L,ENSG00000181381.15,4.26227379332798,0.0
USP32P3,ENSG00000189423.13,4.26104370683201,0.0014428488343423
TMEM30BP1,ENSG00000250995.1,4.25973668638226,0.0013172046783942
TK1,ENSG00000167900.12,4.24903293550124,5.31112963188592e-50
STAT1,ENSG00000115415.20,4.24069689756289,0.0
KIF20A,ENSG00000112984.12,4.23355258883361,3.25387685215296e-13
SLC5A4,ENSG00000100191.6,4.23162459954123,0.000328357706702
DTL,ENSG00000143476.18,4.23036282575159,1.86490634607886e-53
SEMA3A,ENSG00000075213.11,4.22762353884889,1.9314075192162398e-216
EIF2AK2,ENSG00000055332.19,4.21976495784749,0.0
SULT1C2P1,ENSG00000237223.6,4.20747603664697,0.0020055791057787
