,logfc,p
ENSG00000235535.9,6.86555621644843,1.07269239962335e-08
ENSG00000204300.7,6.86392828033952,4.53997971364201e-08
ENSG00000182782.8,6.85882201062127,2.54107506568136e-31
ENSG00000153283.13,6.851486807583,4.17020004228087e-08
ENSG00000146166.17,6.84909617303285,5.27752031619388e-08
ENSG00000176204.14,6.84715310320223,2.75824695199847e-08
ENSG00000131068.4,6.8466478434975,2.35830750057969e-08
ENSG00000228334.2,6.84242150536921,2.09401934908254e-09
ENSG00000260624.2,6.83997682078363,1.84151481739645e-08
ENSG00000266602.2,6.8390650643412,9.98373051408838e-09
ENSG00000273125.2,6.83816285233599,1.81959070809334e-08
ENSG00000259974.4,6.83636598910785,1.54618889631844e-08
ENSG00000203258.3,6.83592131194546,1.86104021609468e-08
ENSG00000113263.13,6.83483087950416,4.42160165586772e-09
ENSG00000256193.6,6.83192565346883,1.07238204540109e-08
ENSG00000249022.2,6.83071712636707,3.50165183704416e-08
ENSG00000261670.1,6.83069139765763,5.509966771574431e-09
ENSG00000226869.6,6.82828194677807,2.2732194516927e-08
ENSG00000183454.18,6.82820363622846,5.22482581714323e-09
ENSG00000196482.18,6.8215193194584,3.06539694719007e-09
ENSG00000153253.19,6.81907253700668,1.9553305219434e-08
ENSG00000164692.19,6.80853354882635,3.57738153187298e-09
ENSG00000231057.4,6.80342456067175,5.94753278113705e-08
ENSG00000231246.3,6.80306301300197,1.23173411558426e-07
ENSG00000227954.7,6.8006233024194,2.0016240762686e-07
ENSG00000228590.3,6.79958412844455,2.19494912926733e-08
ENSG00000206073.11,6.79890165994402,9.3261053883679e-23
ENSG00000166405.15,6.79795280700713,2.40587667031719e-08
ENSG00000260212.1,6.797781690975,1.43391776103698e-08
ENSG00000258489.4,6.7945836420962,4.30306074301983e-08
ENSG00000288897.1,6.79035156854763,2.60492613032419e-08
ENSG00000105143.13,6.78867828388624,2.32682530707689e-08
ENSG00000234663.7,6.78596391052998,2.56413478559785e-08
ENSG00000250961.2,6.78529752141001,1.71664502629158e-08
ENSG00000185483.13,6.78479786623338,4.12111125299529e-08
ENSG00000241684.7,6.78429944852548,1.99634832933948e-08
ENSG00000199883.1,6.78300193339866,2.17997515405387e-08
ENSG00000132932.19,6.78223621210912,6.1187602514241905e-09
ENSG00000267374.3,6.78097291730962,1.6308526628365e-08
ENSG00000249383.2,6.76966480864016,4.92497685187965e-08
ENSG00000164035.10,6.76807369806595,4.71820253454544e-08
ENSG00000235782.1,6.76661873822764,3.40078718754088e-08
ENSG00000289323.1,6.7620381380865,2.3816237728396e-08
ENSG00000255030.1,6.75837349884577,3.00062190304248e-07
ENSG00000196361.10,6.75807626922372,2.0165657615492e-08
ENSG00000120549.18,6.75528807453601,1.89075188508757e-08
ENSG00000132911.5,6.75425125206642,4.14768943896647e-08
ENSG00000104435.14,6.75368833581871,4.49377779046812e-08
ENSG00000237401.8,6.75261816769408,1.82354197963663e-08
ENSG00000094661.3,6.75096852385085,4.30977131882738e-07
ENSG00000136237.19,6.74956969904704,2.11243842505148e-08
ENSG00000267665.2,6.74858123992644,5.79269260665388e-08
ENSG00000287268.1,6.74606896345802,1.57637254663726e-08
ENSG00000248131.6,6.74517929710559,1.64018425190552e-08
ENSG00000286934.1,6.74503447518904,4.04686972324381e-08
ENSG00000250320.7,6.73988769289138,2.05998991157197e-08
ENSG00000287708.1,6.73853589271113,3.7707655237023e-08
ENSG00000283445.1,6.7376399435091,2.14741165590647e-08
ENSG00000182752.10,6.73027397140476,9.34523534159812e-09
ENSG00000280182.1,6.72619732128526,1.95343294551712e-08
ENSG00000200138.1,6.72547963680386,5.31171413591344e-08
ENSG00000178235.8,6.71970135175255,6.37583953242687e-08
ENSG00000287197.1,6.71919915894052,4.97139303034936e-08
ENSG00000223949.8,6.71598139419565,7.2782198768279915e-09
ENSG00000286891.1,6.71531094501242,7.9336982768456e-08
ENSG00000259776.1,6.7129837999182,3.87514227249489e-08
ENSG00000250305.9,6.71269030712438,4.59068100911887e-09
ENSG00000258405.11,6.71108316841507,2.5874405752268e-08
ENSG00000197632.9,6.7082760670272,8.91132896539881e-189
ENSG00000215559.8,6.7067414368185,9.02828157400063e-08
ENSG00000241484.10,6.70475480190413,3.00390286474584e-08
ENSG00000133477.17,6.7015177703687,3.76652096053071e-08
ENSG00000156299.14,6.70018792356785,2.67001273113348e-08
