gene_id,MFL01,MFL02,MFL03,MFL04,MFN01,MFN02,MFN03,MFN04
ENSG00000179172.10,26,25,13,15,17,18,20,13
ENSG00000243073.4,0,0,0,0,0,0,0,0
ENSG00000277058.3,0,4,0,0,1,1,0,1
ENSG00000275774.3,1,1,0,2,1,1,0,2
ENSG00000204505.5,1,0,0,0,0,0,0,0
ENSG00000279169.3,0,1,0,0,0,0,0,0
ENSG00000279804.2,0,0,0,0,0,0,0,0
ENSG00000250894.1,0,0,0,0,0,0,0,0
ENSG00000204501.7,0,0,0,0,0,0,0,0
ENSG00000204481.8,0,0,0,0,0,0,0,0
ENSG00000204480.8,0,0,0,0,0,0,0,0
ENSG00000204479.4,0,0,0,0,0,0,0,0
ENSG00000204478.10,0,0,0,0,0,0,0,0
ENSG00000162494.6,17,13,7,17,1,1,2,3
ENSG00000215909.3,1,0,1,0,1,0,0,0
ENSG00000162493.17,402,378,287,349,351,379,417,322
ENSG00000237445.2,0,2,0,0,0,2,1,0
ENSG00000116731.23,1967,1807,1488,1737,928,1001,1184,1002
ENSG00000289380.1,2,1,2,4,2,3,1,0
ENSG00000189337.17,42,35,32,43,54,49,46,52
ENSG00000231606.2,0,0,0,0,0,0,0,0
ENSG00000234593.3,0,0,0,0,0,0,0,0
ENSG00000235829.1,1,0,0,1,0,1,0,0
ENSG00000287756.1,0,0,0,0,0,0,0,0
ENSG00000175147.13,36,30,39,45,54,64,86,54
ENSG00000171729.14,957,1029,794,939,867,944,989,918
ENSG00000204464.7,2,3,7,7,2,5,9,4
ENSG00000215720.4,2,2,2,5,2,1,3,3
ENSG00000278480.1,7,8,5,6,11,5,6,8
ENSG00000142621.21,17,20,17,24,24,20,33,16
ENSG00000233485.1,0,0,1,0,0,0,0,0
ENSG00000228140.2,4,4,5,2,2,4,4,2
ENSG00000142634.13,4722,4823,3710,4563,3891,3667,4533,3941
ENSG00000162438.12,5,1,6,1,1,1,1,1
ENSG00000142615.8,1,0,0,0,0,0,0,0
ENSG00000215704.10,0,0,2,1,0,1,0,1
ENSG00000132906.18,291,278,202,270,268,301,314,242
ENSG00000116138.13,722,659,580,668,492,615,693,646
ENSG00000116771.6,76,50,52,53,63,68,88,76
ENSG00000237301.1,0,0,2,1,2,3,3,3
ENSG00000235084.3,20,18,8,18,16,8,9,4
ENSG00000236500.1,0,1,0,0,0,0,0,0
ENSG00000197312.12,1018,897,838,906,733,861,1003,1026
ENSG00000215695.2,1,1,1,1,0,0,1,1
ENSG00000271742.1,0,0,0,0,0,1,0,0
