gene_id,MFN01,MFN02,MFN03,MFN04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000233929.1,4,1,0,2,1,4,4,2
ENSG00000037637.11,718,733,885,755,428,341,367,480
ENSG00000055070.17,1831,1897,2249,1902,1901,1779,1886,1955
ENSG00000226457.1,0,1,3,1,3,1,3,3
ENSG00000187144.11,1,1,0,2,2,2,2,2
ENSG00000157191.20,1419,1505,1754,1444,580,552,556,640
ENSG00000226029.1,13,11,16,12,6,3,2,5
ENSG00000080947.15,58,50,55,60,6,1,4,4
ENSG00000261135.1,0,0,0,0,1,0,0,0
ENSG00000233421.5,0,0,0,0,1,0,0,0
ENSG00000225710.1,0,0,0,0,0,0,0,0
ENSG00000219481.11,152,217,246,191,30,34,29,25
ENSG00000271732.1,1,1,2,0,0,0,0,0
ENSG00000215908.10,414,455,509,416,76,66,78,73
ENSG00000186301.8,20,12,16,10,0,1,0,0
ENSG00000280114.1,0,0,0,0,0,0,0,0
ENSG00000236698.1,10,10,14,13,8,7,6,9
ENSG00000268869.6,0,0,0,0,0,1,1,0
ENSG00000279151.1,0,0,0,0,2,5,2,2
ENSG00000282740.1,0,0,0,0,1,0,0,0
ENSG00000058453.17,155,198,214,170,25,19,27,38
ENSG00000227684.2,0,0,0,0,0,0,0,0
ENSG00000186715.11,7,4,11,7,0,1,1,0
ENSG00000223643.6,0,0,0,0,0,0,1,0
ENSG00000228549.5,0,0,1,0,0,0,2,0
ENSG00000238142.3,2,9,17,5,3,2,2,3
ENSG00000272426.1,0,0,1,0,0,0,1,1
ENSG00000117122.14,0,0,0,0,0,0,4,1
ENSG00000159363.19,214,225,289,217,100,93,113,132
ENSG00000117118.10,1244,1214,1506,1267,1020,1095,972,1129
ENSG00000117115.13,33,54,80,40,13,11,16,17
ENSG00000204362.6,0,0,0,0,0,1,0,0
ENSG00000142623.11,0,0,1,0,1,0,2,2
ENSG00000142619.4,0,0,0,0,0,1,1,1
ENSG00000266634.1,0,0,0,0,1,0,1,0
ENSG00000159339.13,0,0,0,0,0,0,2,0
ENSG00000276747.1,0,0,0,0,0,0,1,0
ENSG00000179051.14,2290,2525,3102,2612,397,405,361,520
ENSG00000074964.17,261,303,382,298,76,37,76,72
ENSG00000117148.8,0,0,0,0,0,0,1,0
ENSG00000284653.1,0,0,0,0,0,0,1,0
ENSG00000280222.1,0,0,0,0,1,0,4,0
ENSG00000179023.9,0,0,0,0,0,0,0,1
ENSG00000235282.3,0,0,0,0,1,0,0,0
ENSG00000225478.2,0,0,0,0,0,0,0,1
ENSG00000009709.12,0,0,0,0,0,1,0,2
ENSG00000179002.5,0,0,0,0,1,1,0,2
ENSG00000159423.17,123,147,179,142,58,66,50,55
ENSG00000169991.11,352,386,450,380,269,217,212,259
ENSG00000272084.1,8,5,4,9,2,4,3,4
ENSG00000127481.15,4590,4737,5865,5341,2279,2136,2234,2468
ENSG00000230424.2,9,11,14,6,6,5,4,1
ENSG00000127463.16,1594,1885,2133,1855,784,773,810,912
ENSG00000053372.5,921,953,1112,992,311,291,298,349
ENSG00000286064.1,22,24,28,16,10,7,9,16
ENSG00000211454.16,8,9,12,3,3,1,1,3
ENSG00000162482.5,3,9,3,0,2,0,0,0
ENSG00000270728.1,13,19,33,24,2,2,6,4
ENSG00000053371.13,577,551,743,581,376,323,341,411
