MFL,MFN,MFPA
TCF7L1,DLEU1,AMD1P3
TEP1,TRIM13,EEF1A2
IGLVIVOR22-2,DLEU2,PPDPF
SLC5A4,SPRYD7,PFDN2
RPL15P20,KPNA3,IGDCC3
PPP1R14BP2,FAM124A,LINC01828
XRN1,MYOM1,FGF10
RNF114,MBOAT2,MAP2K1
GJB2,EBPL,LINC01517
TFAP2C,ARL11,MFSD4BP1
RPS4XP3,KIDINS220,GID8
GJA3,ID2,PELO
RPS3AP15,ID2-AS1,BAMBI
UNC93B3,RCBTB1,THAP4
ROBO1,LINC01814,B3GNTL1P1
PTPN1,SETDB2,RPL4
SNAI1,CAB39L,MRGBP
COL8A1,RNASEH2B,LINC00659
LATS2,INTS6,LINC02105
SLC9A8,AFG3L2,LINC01033
PSPC1P1,B3GNTL1,SLCO4A1
B4GALT5,DAG1,LINC01169
ZNFX1,BSN,SMAD6
ANKLE2,APEH,RPS21
MVP,NARF-IT1,SPG21
ALCAM,RNF123,GAL3ST2
LINC01215,ODC1-DT,LINC02675
HHLA2,RAB40B,VN1R7P
RPSAP54,FN3KRP,LINC02119
LRIG1,TRAIP,ANXA2
CHCHD2P8,TBCD,FOXB1
OGFR,MON1A,GCNT3
RPS24P8,SUGT1,NCOR1P4
FYCO1,YES1,VTRNA2-2P
CCRL2,CKAP2,CSGALNACT2
GMEB2,VPS36,B4GALT3
HELZ2,USP14,DNAJB12P1
USP12,THOC1,SPRED2
ELOBP1,COLEC12,HMGB1P51
UBA7,ATP7B,FCRLA
SEMA3B,RRM2,ANKRD20A11P
GLYCTK,WDFY2,FCRLB
ZBP1,INTS6-AS1,HSPA6
PPP2R5CP,TYMS,LIFR-AS1
DCP1A,ENOSF1,FGR
WNT5A,CDADC1,RORA
WNT5A-AS1,RCBTB2,CHL1
HESX1,RB1,DAB2
EIF3CL,LACC1,KRT18P33
IL27,PPP4R1,RRM2P2
NUPR1,SH3BP5L,MEIS1
ATXN7,HEMK1,MEIS1-AS2
NECTIN3,RBM15B,RPL37
DHX37,GTF2F2,LINC02630
ELMO2,TXNDC2,FZD8
TOP1,GPALPP1,LINC01881
RPL37AP1,NUFIP1,PPIB
MGLL,TEX264,LINC01797
SETD1B,TUSC8,HMGCS1
RAB43,PIEZO2,ADRM1
ORAI1,ENOX1,RNU6-176P
CAMKK2,ITM2B,CDC20B
ATP2C1,DNAJC15,INSYN1-AS1
CPNE4,GNAL,LOXL1
RPL39P5,FAM216B,RNU7-14P
AMOTL2,MPPE1,LOXL1-AS1
UBC,IMPA2,BCAS1
PPP2R3A,TNFSF11,CYP24A1
P2RX4,PARP3,PFDN4
P2RX7,AKAP11,LINC01441
OASL,PCBP4,PSMA7
HSPA8P9,ABHD14B,CBLN4
EEF1A1P25,TUBB6,INSYN1
CLSTN2,ZC3H13,PEA15
SPSB4,TWSG1,RTF2
PXYLP1,RN7SL288P,ARIH1
PKIG,ANKRD12,DNAJC1
ADA,HYAL3,PPIAP10
KCNK15,RNASEH1-AS1,ATP1A4
HEG1,RNASEH1,LINC01524
CD40,MED4,BCL9P1
TMEM219,LINC00667,LINC02219
ARHGAP31,ZBTB14,ATP9A
TMEM39A,NUDT15,GPC1
POGLUT1,ADI1,ISLR2
TIMMDC1,TRAPPC12,CCDC33
CD80,NAA80,CYP11A1
ADPRH,EIPR1,SEMA7A
RPL10P7,SUCLA2,SLC39A12-AS1
POPDC2,HYAL2,ARID3B
HIP1R,TUSC2,MARVELD2
HCAR3,ACP1,CLK3
HCAR2,SH3YL1,CYP1A2
KPNA1,ESD,ATP1A2
PARP9,PGBD2,ADIPOR1P1
DTX3L,ZNF692,RN7SL170P
SDC4,RASSF1,BMP7
PARP15,NPRL2,GNAS-AS1
PARP14,RUBCNL,FEM1B
RASL11A,LRRC63,CDH4
FLT1,CHRM3,CORO2B
CCNYL1,C3orf14,DDX4
ERFE,ATP9B,HDLBP
ACSM5,CIAO2AP2,SESN2
ARMC9,ACADS,PAQR5
RUNX1,PIGN,MYO3A
CLIC6,UNC119B,ZNF831
RCAN1,RELCH,PRELID3B
TMSB10P1,MLEC,RPLP1
DCUN1D3,OBSCN,LINC01948
ACKR3,POP5,DRAIC
LYRM1,KDSR,LINC00836
ZDHHC4P1,COQ5,LINCR-0003
RN7SL834P,VPS4B,PARP6
EPSTI1,DYNLL1,LINC02101
MAPK6P3,MRPL55,LINC01516
IFNAR2,DUSP5P1,LARP6
OLIG1,C1orf35,PLK2
OLIG2,SRSF9,RAB22A
TRNT1,RPL31P52,KIAA1217
PNPT1P1,TRIAP1,OTUD1
EGOT,WNT9A,CROCC2
WBP4,ZBTB11,C10orf67
MORC3,PXN-AS1,CTCFL
SP100,PDCL3P4,NR2E3
EIF4A1P7,SNAP47,RNU4-42P
GPBAR1,ZNF678,GRAMD2A
RPL12P17,CDC42BPA,AGXT
KANSL1L,SPPL3,SERTAD2
RPL10P6,RHOU,IL5RA
PHF11,ABCB9,FOXA2
MX1,VPS33A,LINC00626
MX2,DENR,KCNMA1-AS1
FAM3B,KNTC1,CHP1
FNDC3A,AGT,LINC01548
RUFY4,COG2,LINC02112
ITPRIPL2,PGBD5,LINC00595
SP140L,ZCCHC8,ZDHHC18
DNPEP,MALT1,SPINT1
LRCH1,GALNT2,LINC02655
SGPP2,LINC01736,ANXA11
SERPINE2,ZNF532,SEMA5A
IRS1,CLIP1,LINC02199
GPRC5B,FILIP1L,RN7SL376P
CCL20,RAB4A,SELP
TRIP12,TAF5L,BHLHE40
SP110,MLXIP,C21orf62-AS1
URB1,BCL7A,LINC01513
ARL8B,NIT2,TYRO3
EDEM1,RNA5SP78,EIF3FP3
DCLK3,ABCB10,VDAC2
AZI2,NUP133,MPC2
IFIT1P1,TMEM120B,LINC01194
C21orf91,RNF34,PLA2G4D
BTG3,ANAPC5,CFAP298-TCP10L
UBFD1,CCSAP,DNAH5
RPL23AP43,BICDL1,TMEM87A
USP25,PSEN2,FBXL7
NRIP1,TMX3,MIR4432HG
BRCA2,TPCN1,RPS26P41
TRANK1,DZIP3,LINC01363
OXTR,LINC02813,SCAF4
RPL29P11,PLCXD2,SLC9A1
ZAR1L,ABHD10,ADCY2
USPL1,ZADH2,LINC02123
DLEC1,ATG3,AGXT2
MYD88,SLC35A5,EMC7
GAPDHP69,GTPBP8,GJD2
RBBP6,ZNF516,CLPTM1L
GORASP1,SLC8B1,FMO1
TTC21A,ZNF516-DT,NUTM1
N4BP2L1,IQCD,NOP10
CCNA1,CCDC102B,RTN4
EEF1A1P1,CNIH3-AS2,ERG
NKIRAS1,RITA1,GHITM
ELF1,DDX54,SCG5
IRAK2,CNIH3,ETS2
HRH1,ZNF236,LGI1
EEF2K,RASAL1,TPPP
