gene_id,MFL01,MFL02,MFL03,MFL04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000229305.1,0,0,0,0,3,0,0,0
ENSG00000288816.1,0,0,0,0,1,0,1,0
ENSG00000227634.3,0,1,0,0,0,1,0,0
ENSG00000162426.16,1,5,6,3,3,4,3,6
ENSG00000142599.19,729,812,500,622,198,141,172,178
ENSG00000232912.6,7,8,3,4,0,0,0,0
ENSG00000221083.1,0,0,0,0,6,3,10,4
ENSG00000270282.1,0,0,1,0,1,0,0,0
ENSG00000234619.1,7,11,4,4,0,2,3,1
ENSG00000224315.2,4,4,1,6,1,1,1,2
ENSG00000222511.2,0,0,0,0,0,0,0,0
ENSG00000226545.1,1,0,0,0,0,1,1,2
ENSG00000228423.2,1,0,0,0,1,2,1,1
ENSG00000229716.2,1,1,0,1,1,0,2,1
ENSG00000074800.16,22032,20570,16347,18612,22448,21510,20930,23370
ENSG00000274258.1,2,0,2,0,0,0,0,0
ENSG00000230679.1,0,1,1,1,0,0,0,0
ENSG00000201725.1,0,0,1,0,0,0,0,0
ENSG00000238249.2,3,5,4,4,7,4,3,4
ENSG00000232208.2,0,0,0,0,0,0,1,0
ENSG00000131686.15,0,0,2,0,2,1,5,1
ENSG00000265141.2,0,0,0,0,0,3,3,2
ENSG00000142583.18,681,853,520,650,499,486,419,500
ENSG00000252404.1,0,0,0,0,0,1,1,1
ENSG00000180758.12,941,1186,761,1013,28,35,47,52
ENSG00000228526.7,84,88,56,83,4,6,8,7
ENSG00000234546.5,2,3,5,4,0,3,4,3
ENSG00000049239.13,2720,2752,1977,2528,339,265,325,365
ENSG00000171621.14,1830,1820,1293,1579,1909,1558,1979,2028
ENSG00000284652.1,1,1,1,3,0,1,0,0
ENSG00000284693.2,17,19,6,20,4,3,3,2
ENSG00000235263.1,0,0,0,0,0,1,0,0
ENSG00000171612.7,383,336,293,321,303,295,300,317
ENSG00000231181.1,12,10,9,5,2,4,4,4
ENSG00000188807.13,355,328,251,285,100,110,127,109
ENSG00000171608.17,598,567,437,532,68,52,73,73
ENSG00000179840.5,3,4,5,1,0,0,0,0
ENSG00000233268.3,0,0,0,0,2,3,2,1
ENSG00000231789.3,0,0,3,0,0,0,1,0
ENSG00000171603.18,2475,2540,2024,2404,1257,1105,1178,1325
ENSG00000271264.1,0,0,0,0,0,0,0,0
ENSG00000280113.2,0,0,0,0,2,1,0,0
ENSG00000178585.15,108,120,95,107,90,87,100,105
ENSG00000285701.1,0,2,1,1,0,1,1,0
ENSG00000162441.12,576,526,473,525,282,300,329,376
ENSG00000228150.1,6,3,2,6,5,1,3,0
ENSG00000173614.14,273,269,184,266,53,58,50,45
ENSG00000202415.1,0,7,4,1,0,3,3,0
ENSG00000283611.2,0,1,5,5,0,0,0,1
ENSG00000265521.1,1,2,1,0,0,0,0,0
ENSG00000162444.12,1,1,2,2,2,1,2,1
ENSG00000130939.20,694,668,562,608,460,435,501,557
ENSG00000224340.1,0,0,1,0,1,2,5,0
